chamado_1,chamado_2,label,score
13777,12598,exclusao usuario sistema point serv ≈ moldem problema,53.36
13777,12594,exclusao usuario sistema point serv ≈ criar usuario dianopolis,54.03
13777,12593,exclusao usuario sistema point serv ≈ criar usuario araguaina,58.09
13777,12578,exclusao usuario sistema point serv ≈ smtp basic authentication,67.19
13777,12573,exclusao usuario sistema point serv ≈ erro sistema point service,59.52
13777,12571,exclusao usuario sistema point serv ≈ enc construtora portoconstrutora po,56.71
13777,12566,exclusao usuario sistema point serv ≈ enc paraiso preventivas corretivas ,67.5
13777,12561,exclusao usuario sistema point serv ≈ solicitacao cadastro unidade,78.11
13777,12554,exclusao usuario sistema point serv ≈ hrguarai sobre lancamento corretiva,66.45
13777,12553,exclusao usuario sistema point serv ≈ paraiso preventivas corretivas poin,58.0
13777,12548,exclusao usuario sistema point serv ≈ enviando certeza enviamos estao diz,54.44
13777,12545,exclusao usuario sistema point serv ≈ senha acesso tambem disse,58.26
13777,12543,exclusao usuario sistema point serv ≈ acesso gestora caps girassol regiao,57.85
13777,12542,exclusao usuario sistema point serv ≈ liberacao pointservice pasta public,51.13
13777,12541,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,69.3
13777,12537,exclusao usuario sistema point serv ≈ solicitar acesso abrir,63.22
13777,12534,exclusao usuario sistema point serv ≈ criacao senha login,55.67
13777,12530,exclusao usuario sistema point serv ≈ sistema point service apresenta bug,68.91
13777,12528,exclusao usuario sistema point serv ≈ assunto vazio,77.33
13777,12527,exclusao usuario sistema point serv ≈ fwd dados servidores,68.36
13777,12526,exclusao usuario sistema point serv ≈ colaboradores inativacao,70.34
13777,12523,exclusao usuario sistema point serv ≈ acrescimo unidades,55.3
13777,12520,exclusao usuario sistema point serv ≈ criacao formulario,55.27
13777,12515,exclusao usuario sistema point serv ≈ atualizacao sistema point service,80.24
13777,12507,exclusao usuario sistema point serv ≈ preventiva nao sincroniza,56.96
13777,12504,exclusao usuario sistema point serv ≈ erro sistema,67.44
13777,12490,exclusao usuario sistema point serv ≈ impressao orcamentos,57.85
13777,12486,exclusao usuario sistema point serv ≈ solicitacao usuarios saude tocantin,54.25
13777,12460,exclusao usuario sistema point serv ≈ cadastro usuarios,63.24
13777,12450,exclusao usuario sistema point serv ≈ res atendimento suporte experiencia,59.75
13777,12440,exclusao usuario sistema point serv ≈ ciracao contas point service,69.92
13777,12429,exclusao usuario sistema point serv ≈ senha acesso,58.67
13777,12410,exclusao usuario sistema point serv ≈ cadastrar funcionario,55.94
13777,12408,exclusao usuario sistema point serv ≈ copiar permissao usuario,59.16
13777,12404,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,71.63
13777,12402,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,75.46
13777,12378,exclusao usuario sistema point serv ≈ aplicativo problema,58.94
13777,12355,exclusao usuario sistema point serv ≈ solicitacao hemocentro araguaina,51.86
13777,12349,exclusao usuario sistema point serv ≈ solicitacao cadastro,60.25
13777,12340,exclusao usuario sistema point serv ≈ usuarios aparecem duplicados mapa,52.26
13777,12316,exclusao usuario sistema point serv ≈ treinamento point service,61.95
13777,12312,exclusao usuario sistema point serv ≈ mudanca permissao usuario,66.84
13777,12310,exclusao usuario sistema point serv ≈ cadastro usuario sienge,72.79
13777,12302,exclusao usuario sistema point serv ≈ erro sistema point service distribu,71.82
13777,12273,exclusao usuario sistema point serv ≈ usuario aparece mapa nao registra l,57.68
13777,12218,exclusao usuario sistema point serv ≈ re cadastrar funcionario,52.24
13777,12204,exclusao usuario sistema point serv ≈ pedido inclusao opcoes plataforma p,65.56
13777,12202,exclusao usuario sistema point serv ≈ adicionar usuario,71.76
13777,12199,exclusao usuario sistema point serv ≈ pointservice escritorio fs bsb,57.27
13777,12197,exclusao usuario sistema point serv ≈ res atendimento suporte tecnico usu,62.79
13777,12104,exclusao usuario sistema point serv ≈ problemas email,59.06
13777,12102,exclusao usuario sistema point serv ≈ cadastra funcionario,55.13
13777,12095,exclusao usuario sistema point serv ≈ liberacao usurario point service,77.19
13777,12092,exclusao usuario sistema point serv ≈ fwd pointservice atualizacao,61.79
13777,12049,exclusao usuario sistema point serv ≈ remover vinculo cracha,50.94
13777,12042,exclusao usuario sistema point serv ≈ ativacao usuario,58.64
13777,11981,exclusao usuario sistema point serv ≈ cancelamento ordens preventivas,52.64
13777,11979,exclusao usuario sistema point serv ≈ boqueio sinal,67.9
13777,11943,exclusao usuario sistema point serv ≈ enc cadastro funcionario,50.31
13777,11939,exclusao usuario sistema point serv ≈ exclusao usuario sistema point serv,84.37
13777,11935,exclusao usuario sistema point serv ≈ atualizacao usuario,57.97
13777,11925,exclusao usuario sistema point serv ≈ acesso sistema cracha,76.84
13777,11922,exclusao usuario sistema point serv ≈ problema vinculacao ordens servico ,50.85
13777,11920,exclusao usuario sistema point serv ≈ corretiva nao vincula solicitacao,51.7
13777,11912,exclusao usuario sistema point serv ≈ nao vincula solicitacao,58.44
13777,11904,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,76.0
13777,11902,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,75.16
13777,11893,exclusao usuario sistema point serv ≈ criar usuario porto nacional,54.45
13777,11885,exclusao usuario sistema point serv ≈ cadastro usuario araguaina,58.23
13777,11876,exclusao usuario sistema point serv ≈ construtora portoconstrutora porto ,68.62
13777,11864,exclusao usuario sistema point serv ≈ problema vinculacao sistema point s,61.6
13777,11859,exclusao usuario sistema point serv ≈ solicitacao cadastro colaborador,70.4
13777,11857,exclusao usuario sistema point serv ≈ fw solicitacao cadastro point servi,64.96
13777,11851,exclusao usuario sistema point serv ≈ novos itens,54.76
13777,11846,exclusao usuario sistema point serv ≈ acesso plataforma jira,67.05
13777,11840,exclusao usuario sistema point serv ≈ criacao usuario acesso admin,78.66
13777,11838,exclusao usuario sistema point serv ≈ alteracao formularios,56.17
13777,11830,exclusao usuario sistema point serv ≈ sistema point service erro vinculac,56.67
13777,11824,exclusao usuario sistema point serv ≈ solicitacao cadastro colaboradores,79.16
13777,11816,exclusao usuario sistema point serv ≈ solicitacao mudanca funcao,54.82
13777,11774,exclusao usuario sistema point serv ≈ solicitacao inclusao anexo ix,65.26
13777,11760,exclusao usuario sistema point serv ≈ desvincular,56.05
13777,11722,exclusao usuario sistema point serv ≈ bugs sistema point service,62.44
13777,11754,exclusao usuario sistema point serv ≈ cadastro gestores point service,59.2
13777,11725,exclusao usuario sistema point serv ≈ problema preventivas regiao norte,52.99
13777,11723,exclusao usuario sistema point serv ≈ cadastro cracha vinculo usuario,50.11
13777,11720,exclusao usuario sistema point serv ≈ kit retirado desativacao unidade di,59.08
13777,11703,exclusao usuario sistema point serv ≈ solicitacao recuperacao senha,71.44
13777,11700,exclusao usuario sistema point serv ≈ cadastrologin point service,76.7
13777,11696,exclusao usuario sistema point serv ≈ criar usuario roraima,55.24
13748,13678,cadastro point service ≈ cancelamento ordens duplicidade lan,53.7
13748,13650,cadastro point service ≈ res construtora portofs company4142,63.06
13748,13515,cadastro point service ≈ exclusao preventiva,53.13
13748,13649,cadastro point service ≈ re construtora portofs company41429,53.5
13748,13582,cadastro point service ≈ demissao colaborador aviso previo t,57.29
13748,13581,cadastro point service ≈ cancelamento,50.27
13748,13579,cadastro point service ≈ liberacao contrato point service,59.11
13748,13546,cadastro point service ≈ cancelamento preventiva duplicada,55.11
13748,13274,cadastro point service ≈ cancelamento oss,50.36
13748,13268,cadastro point service ≈ alteracao permissao,55.65
13748,13266,cadastro point service ≈ re adicao obras point service,61.66
13748,13265,cadastro point service ≈ adicao obras point service,54.78
13748,13264,cadastro point service ≈ solicitacao acesso,50.5
13748,13260,cadastro point service ≈ cadastro funcionario,62.95
13748,13255,cadastro point service ≈ alteracao colaborador preventivas,55.52
13748,13252,cadastro point service ≈ cancelamento preventivas,65.54
13748,13238,cadastro point service ≈ cancelamento preventiva,55.35
13748,13236,cadastro point service ≈ demissao colaborador indenizadoterm,54.81
13748,13226,cadastro point service ≈ cancelamento ordem servico unidade ,56.88
13748,13225,cadastro point service ≈ transferencia ordens servico unidad,53.55
13748,13195,cadastro point service ≈ fwd solicitacao acesso,53.61
13748,13215,cadastro point service ≈ cadastro funcionarios,56.92
13748,12996,cadastro point service ≈ inativacao usuarios goiania,59.52
13748,13197,cadastro point service ≈ re exclusao usuario sistema point s,66.41
13748,13117,cadastro point service ≈ cancelamento preventivas miracemato,55.83
13748,13088,cadastro point service ≈ solicitacao cadastro colaboradores ,76.74
13748,13051,cadastro point service ≈ solicitacao cancelamento,56.93
13748,12997,cadastro point service ≈ aplicativo point service problema d,62.09
13748,13020,cadastro point service ≈ planilhas composicoes saude educaca,64.66
13748,13018,cadastro point service ≈ solicitacao logins point service,65.64
13748,13017,cadastro point service ≈ cadastro usuario gurupi,58.37
13748,12558,cadastro point service ≈ erro point service,54.51
13748,13016,cadastro point service ≈ mapa colaboradores,50.95
13748,12998,cadastro point service ≈ construtora portoconstrutora porto ,60.32
13748,13003,cadastro point service ≈ erro sincronizar preventivas,55.97
13748,13002,cadastro point service ≈ bug sistema dia 17012025,54.41
13748,13001,cadastro point service ≈ point sevice correcao cpf,59.05
13748,12999,cadastro point service ≈ construtora portoconstrutora porto ,60.01
13748,12995,cadastro point service ≈ cadastro funcionario emater,57.72
13748,12993,cadastro point service ≈ cadastro usuarios point service,72.87
13748,12989,cadastro point service ≈ cadastro cadastro point service,52.6
13748,12736,cadastro point service ≈ cadastro conta point service,67.35
13748,12986,cadastro point service ≈ inativacao usuario araguaina,61.14
13748,12920,cadastro point service ≈ cadastro usuario point service,72.98
13748,12889,cadastro point service ≈ filtro pesquisa usuario,56.43
13748,12888,cadastro point service ≈ cadastro usuario hgp,75.16
13748,12817,cadastro point service ≈ 07122024,53.02
13748,12887,cadastro point service ≈ fw servidores cadastro realizacao t,62.05
13748,12853,cadastro point service ≈ problemas point service,51.26
13748,12818,cadastro point service ≈ solicitacao cadastro login sistema ,68.85
13748,12815,cadastro point service ≈ solicitacao atualizacao permissoes,54.44
13748,12810,cadastro point service ≈ criacao usuario point service,74.49
13748,12809,cadastro point service ≈ construtora portoconstrutora porto ,67.98
13748,12803,cadastro point service ≈ construtora portoconstrutora porto ,67.26
13748,12808,cadastro point service ≈ consulta dispositivos,50.25
13748,12793,cadastro point service ≈ cancelamento ordens alvorada,51.01
13748,12802,cadastro point service ≈ construtora portoconstrutora porto ,68.49
13748,12801,cadastro point service ≈ construtora portoconstrutora porto ,66.35
13748,12796,cadastro point service ≈ exclusao usuario sistema point serv,69.2
13748,12791,cadastro point service ≈ enc cancelamento,51.28
13748,12790,cadastro point service ≈ cancelamento ordens arapoema,56.48
13748,12788,cadastro point service ≈ enc construtora portofs company3762,62.18
13748,12786,cadastro point service ≈ demissao colaborador aviso previo t,61.3
13748,12781,cadastro point service ≈ solicitacao acesso point service,60.72
13748,12780,cadastro point service ≈ enc problemas point service,63.97
13748,12779,cadastro point service ≈ pointservice sistema nao apresenta ,51.91
13748,12778,cadastro point service ≈ cadastro usuario,70.77
13748,12771,cadastro point service ≈ adicao novos colaboradores point se,66.88
13748,12770,cadastro point service ≈ exclusao usuario sistema point serv,67.62
13748,12769,cadastro point service ≈ exclusao usuario sistema point serv,68.82
13748,12752,cadastro point service ≈ liberacao acesso regiao norte,65.57
13748,12740,cadastro point service ≈ construtora porto sa,57.86
13748,12730,cadastro point service ≈ solicitacao cadastro sistema point ,78.75
13748,12729,cadastro point service ≈ solicitacao suporte verificacao int,50.87
13748,12727,cadastro point service ≈ construtora portoconstrutora porto ,71.09
13748,12726,cadastro point service ≈ construtora portoconstrutora porto ,61.82
13748,12722,cadastro point service ≈ cadastro colaborador,77.1
13748,12721,cadastro point service ≈ solicitacao cadastro funcionario si,64.63
13748,12705,cadastro point service ≈ cadastro usuarios goiania,62.08
13748,12704,cadastro point service ≈ construtora portoconstrutora porto ,66.79
13748,12696,cadastro point service ≈ solicitacao suporte verificacao int,57.47
13748,12695,cadastro point service ≈ problema cadastro equpamentos ativo,55.23
13748,12678,cadastro point service ≈ construtora portoconstrutora porto ,69.37
13748,12677,cadastro point service ≈ tela gerencial nao aparece,53.66
13748,12676,cadastro point service ≈ enc construtora portoconstrutora po,50.1
13748,12661,cadastro point service ≈ atribuicoes perfil point service,55.51
13748,12658,cadastro point service ≈ cadastro,50.27
13748,12653,cadastro point service ≈ construtora portoconstrutora porto ,69.01
13748,12652,cadastro point service ≈ 03112024,63.98
13748,12650,cadastro point service ≈ enc construtora portofs company3428,57.54
13748,12616,cadastro point service ≈ permissao acesso colaborador unidad,58.81
13748,12639,cadastro point service ≈ permissao usuario,56.08
13748,12625,cadastro point service ≈ problema preventivas mes outubro re,59.51
13748,12622,cadastro point service ≈ usuarios localizacao gurupi,54.77
13748,12615,cadastro point service ≈ construtora portoconstrutora porto ,65.27
13748,12614,cadastro point service ≈ unidades cadastrar point service,60.19
13748,12613,cadastro point service ≈ construtora portoconstrutora porto ,65.28
13748,12612,cadastro point service ≈ construtora portoconstrutora porto ,65.81
13748,12610,cadastro point service ≈ acesso sistema,54.04
13748,12599,cadastro point service ≈ construtora portoconstrutora porto ,62.69
13748,12598,cadastro point service ≈ moldem problema,52.76
13748,12578,cadastro point service ≈ smtp basic authentication,56.66
13748,12573,cadastro point service ≈ erro sistema point service,54.89
13748,12566,cadastro point service ≈ enc paraiso preventivas corretivas ,77.08
13748,12561,cadastro point service ≈ solicitacao cadastro unidade,70.24
13748,12554,cadastro point service ≈ hrguarai sobre lancamento corretiva,63.28
13748,12553,cadastro point service ≈ paraiso preventivas corretivas poin,68.13
13748,12541,cadastro point service ≈ construtora portoconstrutora porto ,66.64
13748,12537,cadastro point service ≈ solicitar acesso abrir,54.42
13748,12530,cadastro point service ≈ sistema point service apresenta bug,58.4
13748,12528,cadastro point service ≈ assunto vazio,62.68
13748,12527,cadastro point service ≈ fwd dados servidores,57.96
13748,12526,cadastro point service ≈ colaboradores inativacao,61.55
13748,12523,cadastro point service ≈ acrescimo unidades,55.25
13748,12520,cadastro point service ≈ criacao formulario,52.28
13748,12515,cadastro point service ≈ atualizacao sistema point service,73.75
13748,12507,cadastro point service ≈ preventiva nao sincroniza,57.6
13748,12504,cadastro point service ≈ erro sistema,57.25
13748,12486,cadastro point service ≈ solicitacao usuarios saude tocantin,50.87
13748,12460,cadastro point service ≈ cadastro usuarios,53.09
13748,12440,cadastro point service ≈ ciracao contas point service,65.31
13748,12431,cadastro point service ≈ reabertura guia preventiva,54.12
13748,12410,cadastro point service ≈ cadastrar funcionario,50.08
13748,12404,cadastro point service ≈ construtora portoconstrutora porto ,66.04
13748,12402,cadastro point service ≈ construtora portoconstrutora porto ,73.58
13748,12378,cadastro point service ≈ aplicativo problema,52.25
13748,12355,cadastro point service ≈ solicitacao hemocentro araguaina,55.59
13748,12353,cadastro point service ≈ cadastro sistema point service,72.31
13748,12349,cadastro point service ≈ solicitacao cadastro,57.38
13748,12335,cadastro point service ≈ boa tarde solicito gentileza cadast,52.15
13748,12316,cadastro point service ≈ treinamento point service,61.36
13748,12312,cadastro point service ≈ mudanca permissao usuario,55.41
13748,12310,cadastro point service ≈ cadastro usuario sienge,62.25
13748,12306,cadastro point service ≈ problema preventivas regiao norte a,53.08
13748,12302,cadastro point service ≈ erro sistema point service distribu,64.11
13748,12218,cadastro point service ≈ re cadastrar funcionario,52.41
13748,12204,cadastro point service ≈ pedido inclusao opcoes plataforma p,63.31
13748,12202,cadastro point service ≈ adicionar usuario,61.68
13748,12199,cadastro point service ≈ pointservice escritorio fs bsb,53.79
13748,12104,cadastro point service ≈ problemas email,52.76
13748,12102,cadastro point service ≈ cadastra funcionario,51.81
13748,12098,cadastro point service ≈ cadastro point service,57.33
13748,12095,cadastro point service ≈ liberacao usurario point service,74.03
13748,12092,cadastro point service ≈ fwd pointservice atualizacao,58.64
13748,12000,cadastro point service ≈ erro lancar preventiva,58.83
13748,11996,cadastro point service ≈ enc erro adicionar ordem servico pl,51.39
13748,11981,cadastro point service ≈ cancelamento ordens preventivas,60.73
13748,11979,cadastro point service ≈ boqueio sinal,57.61
13748,11931,cadastro point service ≈ problema lacar preventica local,50.33
13748,11925,cadastro point service ≈ acesso sistema cracha,53.28
13748,11904,cadastro point service ≈ construtora portoconstrutora porto ,69.97
13748,11902,cadastro point service ≈ construtora portoconstrutora porto ,69.46
13748,11876,cadastro point service ≈ construtora portoconstrutora porto ,62.74
13748,11864,cadastro point service ≈ problema vinculacao sistema point s,51.4
13748,11859,cadastro point service ≈ solicitacao cadastro colaborador,65.82
13748,11857,cadastro point service ≈ fw solicitacao cadastro point servi,63.64
13748,11853,cadastro point service ≈ problema lancar preventiva regiao n,52.1
13748,11849,cadastro point service ≈ cancelameno preventivas,62.48
13748,11846,cadastro point service ≈ acesso plataforma jira,51.25
13748,11840,cadastro point service ≈ criacao usuario acesso admin,59.46
13748,11838,cadastro point service ≈ alteracao formularios,64.07
13748,11824,cadastro point service ≈ solicitacao cadastro colaboradores,73.22
13748,11816,cadastro point service ≈ solicitacao mudanca funcao,65.7
13748,11774,cadastro point service ≈ solicitacao inclusao anexo ix,56.47
13748,11760,cadastro point service ≈ desvincular,53.69
13748,11722,cadastro point service ≈ bugs sistema point service,55.5
13748,11754,cadastro point service ≈ cadastro gestores point service,57.69
13748,11725,cadastro point service ≈ problema preventivas regiao norte,58.82
13748,11720,cadastro point service ≈ kit retirado desativacao unidade di,53.01
13748,11718,cadastro point service ≈ problema lancar preventivas regiao ,58.46
13748,11703,cadastro point service ≈ solicitacao recuperacao senha,61.62
13748,11700,cadastro point service ≈ cadastrologin point service,70.4
13747,12820,exclusao usuario sistema point serv ≈ hrguarai sobre oss lancadas sistema,50.54
13747,12819,exclusao usuario sistema point serv ≈ problemas 035202420 valores servico,53.26
13747,12572,exclusao usuario sistema point serv ≈ diferencas resultados calculos bdi ,50.78
13747,12353,exclusao usuario sistema point serv ≈ cadastro sistema point service,84.59
13747,12266,exclusao usuario sistema point serv ≈ erro sistema lancamento corretiva,51.44
13746,13184,exclusao usuario sistema point serv ≈ verify your email address postman,50.39
13746,12675,exclusao usuario sistema point serv ≈ erro point service anexar arquivos,50.04
13745,12713,exclusao usuario sistema point serv ≈ enc construtora portoconstrutora po,51.26
13745,12712,exclusao usuario sistema point serv ≈ enc construtora portoconstrutora po,50.02
13745,12711,exclusao usuario sistema point serv ≈ enc construtora portoconstrutora po,51.6
13745,12710,exclusao usuario sistema point serv ≈ enc construtora portoconstrutora po,51.25
13745,11762,exclusao usuario sistema point serv ≈ erro layout impressao point service,50.29
13745,11674,exclusao usuario sistema point serv ≈ alteracoes formularios,50.15
13744,13515,exclusao usuario sistema point serv ≈ exclusao preventiva,52.93
13711,13647,your daily monitor summary mar 10 m ≈ youve reached your api call limit m,60.9
13711,13587,your daily monitor summary mar 10 m ≈ youre fast approaching your api cal,62.05
13711,13092,your daily monitor summary mar 10 m ≈ dashboard dispositivos,51.13
13711,13006,your daily monitor summary mar 10 m ≈ demissao colaborador aviso previo t,51.03
